wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
V* RR Cae,Gaia EDR3 4788741548375134336,04 21 05.61,-48 39 15.60,DA+dM,6354.0,7.38,21.19,14.36,
V* UZ Sex,Gaia EDR3 3831059120921201280,10 28 34.93,-00 00 30.60,DA+M,17210.0,7.96,40.00,13.88,14.486
V* V1201 Ori,LHS 212,05 56 25.44,05 21 46.80,DAP,5785.0,8.22,7.99,14.105,
V* V470 Lyr,Gaia EDR3 2092134443120038528,18 57 30.23,33 57 31.42,DA,11906.2263,8.340858,30.36,14.64,
V* V727 Car,Gaia EDR3 5231870985222281088,10 44 09.35,-69 18 17.82,DA,22570.0,7.84,29.26,13.09,
V* V749 Her,Gaia EDR3 4565048312887877888,16 57 09.89,21 26 39.48,DA,9147.0,8.004,20.99,14.09,14.721
V* V886 Cen,Gaia EDR3 6127333286605955072,12 38 48.86,-49 48 01.40,DA,11620.0,8.72,14.84,13.81,
V* VW Lyn,Gaia EDR3 715357559411376128,09 01 48.53,36 07 04.92,DA,11575.0,8.098,33.98,14.544,14.865
V* ZZ Cet,Gaia EDR3 2457759374023232768,01 36 14.12,-11 20 34.49,DA,12267.0,8.01,32.75,14.1,
V* ZZ Psc,Gaia EDR3 2660358032257156736,23 28 47.21,05 14 49.97,DAZ,11295.8585,8.021124,17.52,13.04,13.449
WD 0024-55,Gaia EDR3 4920057871348614272,00 26 40.17,-55 24 51.37,DA,10070.0,8.92,24.05,15.21,
WD 0027-549,Gaia EDR3 4920160332088386304,00 29 49.16,-54 41 36.25,DA,,,38.63,,
WD 0033-422,Gaia EDR3 4993117773313626496,00 36 15.39,-41 57 31.05,DA9,,,25.78,,
WD 0034-602,Gaia EDR3 4906743988126708992,00 36 22.85,-59 55 25.57,DA,15239.0,8.64,22.93,14.08,
WD 0042-337,Gaia EDR3 5006232026455470848,00 45 21.93,-33 29 52.78,DA,4100.0,8.0,32.84,19.01,
WD 0108+277,Gaia EDR3 307323228064848512,01 10 44.50,27 58 13.24,DA,5270.0,8.36,38.01,16.15,
